"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"279","85","3","4","0","12","3","4","0","12","18","20","9","14","9","14","0","12","60","57","52","57","8","15","0","12","52","33","33","28","19","22","0","12","65","47","54","42","11","19","0","12","52","43","52","43","0","12","0","12","29","29","29","29","0","12","0","12","1500000US371790203102","Block Group 2, Census Tract 203.10, Union County, North Carolina"
"585","97","10","17","0","12","0","12","10","17","22","21","0","12","22","21","0","12","19","19","6","10","13","16","0","12","19","24","19","24","0","12","0","12","133","75","112","70","21","24","0","12","120","78","78","55","42","55","0","12","262","106","237","99","25","36","0","12","1500000US371790203103","Block Group 3, Census Tract 203.10, Union County, North Carolina"
"229","70","0","12","0","12","0","12","0","12","16","24","0","12","16","24","0","12","0","12","0","12","0","12","0","12","16","24","16","24","0","12","0","12","45","39","45","39","0","12","0","12","78","58","35","27","43","65","0","12","74","50","74","50","0","12","0","12","1500000US371790203111","Block Group 1, Census Tract 203.11, Union County, North Carolina"
"656","95","47","35","0","12","43","35","4","6","41","31","0","12","41","31","0","12","52","31","6","8","46","28","0","12","110","52","49","35","61","41","0","12","164","56","120","51","44","40","0","12","115","56","115","56","0","12","0","12","127","75","127","75","0","12","0","12","1500000US371790203112","Block Group 2, Census Tract 203.11, Union County, North Carolina"
"801","89","18","17","0","12","14","16","4","6","17","15","13","13","4","7","0","12","94","36","15","11","79","35","0","12","149","75","58","28","91","69","0","12","162","50","101","34","61","41","0","12","145","48","123","48","22","17","0","12","216","56","210","54","6","10","0","12","1500000US371790203113","Block Group 3, Census Tract 203.11, Union County, North Carolina"
"595","115","12","20","0","12","12","20","0","12","60","66","10","16","50","65","0","12","115","55","86","50","29","30","0","12","54","27","45","25","9","14","0","12","125","70","123","64","2","24","0","12","118","60","118","60","0","12","0","12","111","70","111","70","0","12","0","12","1500000US371790203121","Block Group 1, Census Tract 203.12, Union County, North Carolina"
"458","128","0","12","0","12","0","12","0","12","55","69","0","12","55","69","0","12","57","61","35","52","22","35","0","12","204","119","135","113","69","51","0","12","57","51","57","51","0","12","0","12","30","37","30","37","0","12","0","12","55","45","55","45","0","12","0","12","1500000US371790203122","Block Group 2, Census Tract 203.12, Union County, North Carolina"
"613","108","0","12","0","12","0","12","0","12","28","32","11","16","17","29","0","12","64","40","56","38","8","11","0","12","63","37","43","32","20","18","0","12","180","111","175","112","5","11","0","12","134","77","134","77","0","12","0","12","144","55","144","55","0","12","0","12","1500000US371790203131","Block Group 1, Census Tract 203.13, Union County, North Carolina"
"974","148","12","20","0","12","0","12","12","20","47","38","9","15","38","35","0","12","41","32","31","27","10","17","0","12","179","72","133","71","46","35","0","12","190","101","165","97","25","37","0","12","115","56","106","56","9","14","0","12","390","111","377","111","13","20","0","12","1500000US371790203141","Block Group 1, Census Tract 203.14, Union County, North Carolina"
"827","155","0","12","0","12","0","12","0","12","32","31","0","12","32","31","0","12","89","60","45","38","44","43","0","12","90","57","35","27","55","50","0","12","218","110","189","106","29","32","0","12","138","75","116","72","22","32","0","12","260","100","260","100","0","12","0","12","1500000US371790203142","Block Group 2, Census Tract 203.14, Union County, North Carolina"
"730","100","6","11","0","12","6","11","0","12","0","12","0","12","0","12","0","12","96","58","73","70","23","28","0","12","44","42","23","26","21","35","0","12","89","61","35","31","54","58","0","12","59","42","18","23","41","33","0","12","436","106","384","102","52","41","0","12","1500000US371790203151","Block Group 1, Census Tract 203.15, Union County, North Carolina"
"831","123","57","53","0","12","57","53","0","12","18","22","12","20","6","9","0","12","70","56","57","52","13","17","0","12","92","67","27","29","65","59","0","12","227","90","158","81","69","55","0","12","152","72","142","71","10","15","0","12","215","102","215","102","0","12","0","12","1500000US371790203152","Block Group 2, Census Tract 203.15, Union County, North Carolina"
"596","109","0","12","0","12","0","12","0","12","21","29","11","20","10","18","0","12","100","76","39","31","61","73","0","12","31","35","0","12","31","35","0","12","195","98","136","69","59","75","0","12","56","34","38","27","18","26","0","12","193","66","193","66","0","12","0","12","1500000US371790203161","Block Group 1, Census Tract 203.16, Union County, North Carolina"
